$trialnr_datasource	$pic_nr	$pic_name
"1"	"1"	"1_left_1.jpg"
"2"	"2"	"1_left_2.jpg"
"3"	"3"	"1_left_3.jpg"
"4"	"4"	"1_left_4.jpg"
"5"	"5"	"1_left_5.jpg"
"6"	"6"	"1_left_6.jpg"
"7"	"7"	"1_left_7.jpg"
"8"	"8"	"1_left_8.jpg"
"9"	"9"	"1_right_1.jpg"
"10"	"10"	"1_right_2.jpg"
"11"	"11"	"1_right_3.jpg"
"12"	"12"	"1_right_4.jpg"
"13"	"13"	"1_right_5.jpg"
"14"	"14"	"1_right_6.jpg"
"15"	"15"	"1_right_7.jpg"
"16"	"16"	"1_right_8.jpg"
"17"	"17"	"2_left_1.jpg"
"18"	"18"	"2_left_2.jpg"
"19"	"19"	"2_left_3.jpg"
"20"	"20"	"2_left_4.jpg"
"21"	"21"	"2_left_5.jpg"
"22"	"22"	"2_left_6.jpg"
"23"	"23"	"2_left_7.jpg"
"24"	"24"	"2_left_8.jpg"
"25"	"25"	"2_right_1.jpg"
"26"	"26"	"2_right_2.jpg"
"27"	"27"	"2_right_3.jpg"
"28"	"28"	"2_right_4.jpg"
"29"	"29"	"2_right_5.jpg"
"30"	"30"	"2_right_6.jpg"
"31"	"31"	"2_right_7.jpg"
"32"	"32"	"2_right_8.jpg"
"33"	"33"	"3_left_1.jpg"
"34"	"34"	"3_left_2.jpg"
"35"	"35"	"3_left_3.jpg"
"36"	"36"	"3_left_4.jpg"
"37"	"37"	"3_left_5.jpg"
"38"	"38"	"3_left_6.jpg"
"39"	"39"	"3_left_7.jpg"
"40"	"40"	"3_left_8.jpg"
"41"	"41"	"3_right_1.jpg"
"42"	"42"	"3_right_2.jpg"
"43"	"43"	"3_right_3.jpg"
"44"	"44"	"3_right_4.jpg"
"45"	"45"	"3_right_5.jpg"
"46"	"46"	"3_right_6.jpg"
"47"	"47"	"3_right_7.jpg"
"48"	"48"	"3_right_8.jpg"
"49"	"1"	"1_left_1.jpg"
"50"	"2"	"1_left_2.jpg"
"51"	"3"	"1_left_3.jpg"
"52"	"4"	"1_left_4.jpg"
"53"	"5"	"1_left_5.jpg"
"54"	"6"	"1_left_6.jpg"
"55"	"7"	"1_left_7.jpg"
"56"	"8"	"1_left_8.jpg"
"57"	"9"	"1_right_1.jpg"
"58"	"10"	"1_right_2.jpg"
"59"	"11"	"1_right_3.jpg"
"60"	"12"	"1_right_4.jpg"
"61"	"13"	"1_right_5.jpg"
"62"	"14"	"1_right_6.jpg"
"63"	"15"	"1_right_7.jpg"
"64"	"16"	"1_right_8.jpg"
"65"	"17"	"2_left_1.jpg"
"66"	"18"	"2_left_2.jpg"
"67"	"19"	"2_left_3.jpg"
"68"	"20"	"2_left_4.jpg"
"69"	"21"	"2_left_5.jpg"
"70"	"22"	"2_left_6.jpg"
"71"	"23"	"2_left_7.jpg"
"72"	"24"	"2_left_8.jpg"
"73"	"25"	"2_right_1.jpg"
"74"	"26"	"2_right_2.jpg"
"75"	"27"	"2_right_3.jpg"
"76"	"28"	"2_right_4.jpg"
"77"	"29"	"2_right_5.jpg"
"78"	"30"	"2_right_6.jpg"
"79"	"31"	"2_right_7.jpg"
"80"	"32"	"2_right_8.jpg"
"81"	"33"	"3_left_1.jpg"
"82"	"34"	"3_left_2.jpg"
"83"	"35"	"3_left_3.jpg"
"84"	"36"	"3_left_4.jpg"
"85"	"37"	"3_left_5.jpg"
"86"	"38"	"3_left_6.jpg"
"87"	"39"	"3_left_7.jpg"
"88"	"40"	"3_left_8.jpg"
"89"	"41"	"3_right_1.jpg"
"90"	"42"	"3_right_2.jpg"
"91"	"43"	"3_right_3.jpg"
"92"	"44"	"3_right_4.jpg"
"93"	"45"	"3_right_5.jpg"
"94"	"46"	"3_right_6.jpg"
"95"	"47"	"3_right_7.jpg"
"96"	"48"	"3_right_8.jpg"
