ID	trialnr	pic_nr	timeover	RT_total	RT_planung	control_planning_x	control_planning_y	RT_movement	posx	posy
JohNe	1	21	0	  950.50	  293.96	514	568	  656.53	510	354
JohNe	2	12	0	  830.49	  230.17	515	567	  600.32	518	361
JohNe	3	16	0	  956.41	  220.95	509	564	  735.46	518	359
JohNe	4	14	0	  886.37	  198.79	513	565	  687.58	513	359
JohNe	5	48	0	 1065.95	  193.27	511	569	  872.68	511	357
JohNe	6	6	0	  845.61	  254.07	513	569	  591.55	508	359
JohNe	7	45	0	  840.52	  208.09	514	570	  632.43	513	359
JohNe	8	33	0	  894.58	   39.40	510	568	  855.18	514	356
JohNe	9	34	0	 1091.43	  204.59	506	562	  886.85	505	357
JohNe	10	39	0	  999.54	  174.65	509	565	  824.89	509	357
JohNe	11	18	0	  870.07	  101.68	512	568	  768.39	513	353
JohNe	12	6	0	  962.29	  202.18	510	562	  760.11	503	358
JohNe	13	9	0	  780.34	   11.59	510	565	  768.74	515	357
JohNe	14	41	0	  676.70	    0.76	508	558	  675.94	510	353
JohNe	15	26	0	  833.47	   17.93	509	567	  815.54	508	357
JohNe	16	43	0	  784.86	   40.95	509	568	  743.91	507	354
JohNe	17	19	0	 1232.73	  248.08	499	567	  984.65	509	359
JohNe	18	23	0	  973.16	  285.82	508	570	  687.34	512	363
JohNe	19	17	0	 1228.62	  227.77	512	569	 1000.85	516	359
JohNe	20	8	0	  842.15	  170.90	509	569	  671.25	506	364
JohNe	21	27	0	 1153.03	  466.15	513	566	  686.87	513	358
JohNe	22	31	0	 1210.29	  233.26	513	564	  977.03	513	360
JohNe	23	33	0	 1023.50	  248.00	514	567	  775.50	516	361
JohNe	24	15	0	 1110.80	  231.20	509	569	  879.60	515	360
JohNe	25	21	0	  873.42	  233.26	513	563	  640.15	514	359
JohNe	26	1	0	  870.66	  231.61	512	566	  639.05	509	353
JohNe	27	23	0	  987.90	  212.44	513	569	  775.47	516	360
JohNe	28	13	0	  893.06	  221.29	509	564	  671.77	517	364
JohNe	29	32	0	  961.73	  225.51	512	558	  736.22	512	359
JohNe	30	28	0	  954.90	   18.27	510	567	  936.63	517	362
JohNe	31	24	0	 1100.03	  219.00	512	557	  881.03	516	358
JohNe	32	41	0	  967.36	  206.68	512	568	  760.68	511	358
