ID	trialnr	pic_nr	x_traj	y_traj	traj_timesteps
JohNe	1	21	514	568	  293.96
JohNe	1	21	515	558	  302.81
JohNe	1	21	516	547	  309.28
JohNe	1	21	518	535	  318.02
JohNe	1	21	521	519	  326.69
JohNe	1	21	523	504	  333.11
JohNe	1	21	528	480	  341.61
JohNe	1	21	531	450	  350.26
JohNe	1	21	534	424	  358.77
JohNe	1	21	535	404	  365.23
JohNe	1	21	537	389	  373.73
JohNe	1	21	537	378	  382.52
JohNe	1	21	536	365	  397.74
JohNe	1	21	536	362	  404.95
JohNe	1	21	535	360	  413.61
JohNe	1	21	535	359	  422.13
JohNe	1	21	534	357	  438.40
JohNe	1	21	534	356	  469.18
JohNe	1	21	533	355	  478.55
JohNe	1	21	533	354	  494.99
JohNe	1	21	532	354	  541.54
JohNe	1	21	531	354	  558.91
JohNe	1	21	530	353	  574.38
JohNe	1	21	529	353	  581.36
JohNe	1	21	528	353	  598.68
JohNe	1	21	527	353	  605.48
JohNe	1	21	526	354	  614.19
JohNe	1	21	525	354	  622.85
JohNe	1	21	524	356	  629.31
JohNe	1	21	523	356	  646.58
JohNe	1	21	522	356	  662.10
JohNe	1	21	521	356	  670.65
JohNe	1	21	520	355	  677.13
JohNe	1	21	518	355	  686.73
JohNe	1	21	517	355	  701.98
JohNe	1	21	516	354	  742.03
JohNe	1	21	515	353	  757.37
JohNe	1	21	514	353	  773.05
JohNe	1	21	513	353	  797.11
JohNe	1	21	512	353	  814.21
JohNe	1	21	510	353	  845.34
JohNe	1	21	510	354	  902.19
JohNe	2	12	515	567	  230.17
JohNe	2	12	518	554	  239.87
JohNe	2	12	519	539	  246.31
JohNe	2	12	521	524	  254.83
JohNe	2	12	523	506	  263.49
JohNe	2	12	524	489	  271.98
JohNe	2	12	527	470	  278.41
JohNe	2	12	527	457	  287.76
JohNe	2	12	528	443	  294.21
JohNe	2	12	529	434	  303.41
JohNe	2	12	529	425	  310.07
JohNe	2	12	529	420	  319.22
JohNe	2	12	529	414	  327.88
JohNe	2	12	529	409	  334.30
JohNe	2	12	528	404	  342.90
JohNe	2	12	527	402	  352.51
JohNe	2	12	527	399	  359.02
JohNe	2	12	527	397	  367.61
JohNe	2	12	527	395	  373.97
JohNe	2	12	527	393	  382.61
JohNe	2	12	527	392	  391.21
JohNe	2	12	527	390	  399.88
JohNe	2	12	527	389	  406.30
JohNe	2	12	527	388	  423.62
JohNe	2	12	527	387	  438.69
JohNe	2	12	526	385	  456.01
JohNe	2	12	524	382	  462.46
JohNe	2	12	523	380	  471.82
JohNe	2	12	521	376	  478.29
JohNe	2	12	520	375	  486.77
JohNe	2	12	518	373	  495.40
JohNe	2	12	517	371	  510.51
JohNe	2	12	515	371	  526.07
JohNe	2	12	514	369	  558.59
JohNe	2	12	514	367	  574.03
JohNe	2	12	514	366	  583.15
JohNe	2	12	514	365	  591.64
JohNe	2	12	514	364	  607.62
JohNe	2	12	515	362	  662.38
JohNe	2	12	516	362	  679.81
JohNe	2	12	517	361	  735.16
JohNe	2	12	518	361	  767.59
JohNe	3	16	509	564	  220.95
JohNe	3	16	507	549	  229.88
JohNe	3	16	506	524	  236.20
JohNe	3	16	506	493	  244.82
JohNe	3	16	504	460	  253.33
JohNe	3	16	501	431	  261.97
JohNe	3	16	500	407	  269.34
JohNe	3	16	500	393	  278.07
JohNe	3	16	500	382	  284.56
JohNe	3	16	500	373	  293.19
JohNe	3	16	501	368	  302.55
JohNe	3	16	501	362	  309.21
JohNe	3	16	502	358	  317.96
JohNe	3	16	502	353	  324.34
JohNe	3	16	502	351	  333.14
JohNe	3	16	502	350	  340.18
JohNe	3	16	502	348	  348.99
JohNe	3	16	503	346	  357.65
JohNe	3	16	503	345	  364.12
JohNe	3	16	503	344	  372.13
JohNe	3	16	504	342	  380.80
JohNe	3	16	504	341	  390.81
JohNe	3	16	504	340	  397.37
JohNe	3	16	504	338	  406.01
JohNe	3	16	504	337	  412.58
JohNe	3	16	504	336	  421.60
JohNe	3	16	504	335	  445.74
JohNe	3	16	505	334	  460.59
JohNe	3	16	506	333	  469.65
JohNe	3	16	507	333	  476.37
JohNe	3	16	507	332	  485.34
JohNe	3	16	509	332	  493.07
JohNe	3	16	510	332	  500.18
JohNe	3	16	511	332	  509.22
JohNe	3	16	512	332	  524.89
JohNe	3	16	512	333	  540.89
JohNe	3	16	513	335	  556.18
JohNe	3	16	513	337	  572.38
JohNe	3	16	513	338	  581.42
JohNe	3	16	513	341	  589.08
JohNe	3	16	512	344	  597.84
JohNe	3	16	511	347	  604.43
JohNe	3	16	510	350	  613.11
JohNe	3	16	510	351	  619.99
JohNe	3	16	510	352	  628.87
JohNe	3	16	510	354	  637.84
JohNe	3	16	510	355	  653.57
JohNe	3	16	510	356	  677.67
JohNe	3	16	510	357	  709.22
JohNe	3	16	510	359	  748.72
JohNe	3	16	511	360	  773.68
JohNe	3	16	511	361	  789.33
JohNe	3	16	512	361	  805.31
JohNe	3	16	513	361	  829.47
JohNe	3	16	514	361	  853.10
JohNe	3	16	515	360	  860.32
JohNe	3	16	516	360	  869.28
JohNe	3	16	518	359	  885.18
JohNe	4	14	513	565	  198.79
JohNe	4	14	514	555	  205.38
JohNe	4	14	515	543	  214.00
JohNe	4	14	518	528	  221.21
JohNe	4	14	519	513	  229.83
JohNe	4	14	520	496	  238.33
JohNe	4	14	520	459	  254.61
JohNe	4	14	520	442	  261.09
JohNe	4	14	520	427	  269.65
JohNe	4	14	520	418	  278.35
JohNe	4	14	519	411	  286.84
JohNe	4	14	519	408	  293.30
JohNe	4	14	518	405	  302.25
JohNe	4	14	518	404	  310.89
JohNe	4	14	518	403	  317.31
JohNe	4	14	518	402	  337.28
JohNe	4	14	518	401	  453.27
JohNe	4	14	518	399	  461.87
JohNe	4	14	519	396	  470.66
JohNe	4	14	519	392	  477.25
JohNe	4	14	520	386	  486.40
JohNe	4	14	520	383	  492.89
JohNe	4	14	521	380	  501.50
JohNe	4	14	521	377	  510.19
JohNe	4	14	521	374	  519.67
JohNe	4	14	521	370	  526.15
JohNe	4	14	521	366	  534.75
JohNe	4	14	521	363	  541.13
JohNe	4	14	521	359	  549.74
JohNe	4	14	521	356	  558.27
JohNe	4	14	520	354	  566.95
JohNe	4	14	519	353	  573.32
JohNe	4	14	519	351	  582.01
JohNe	4	14	518	351	  702.02
JohNe	4	14	517	351	  710.76
JohNe	4	14	516	353	  717.23
JohNe	4	14	515	354	  734.71
JohNe	4	14	514	356	  741.23
JohNe	4	14	513	357	  750.12
JohNe	4	14	513	359	  782.65
JohNe	5	48	511	569	  193.27
JohNe	5	48	510	559	  202.35
JohNe	5	48	510	547	  209.00
JohNe	5	48	509	534	  218.57
JohNe	5	48	509	521	  225.19
JohNe	5	48	509	509	  234.01
JohNe	5	48	510	499	  242.62
JohNe	5	48	511	488	  249.03
JohNe	5	48	512	480	  257.56
JohNe	5	48	513	471	  266.19
JohNe	5	48	514	462	  274.78
JohNe	5	48	515	453	  281.20
JohNe	5	48	516	446	  290.11
JohNe	5	48	516	441	  296.80
JohNe	5	48	516	436	  305.49
JohNe	5	48	516	433	  314.36
JohNe	5	48	516	430	  321.23
JohNe	5	48	516	428	  329.88
JohNe	5	48	516	427	  338.39
JohNe	5	48	516	425	  344.84
JohNe	5	48	516	423	  353.33
JohNe	5	48	516	422	  361.98
JohNe	5	48	516	421	  369.24
JohNe	5	48	516	418	  378.00
JohNe	5	48	516	417	  386.51
JohNe	5	48	516	416	  401.68
JohNe	5	48	516	415	  425.03
JohNe	5	48	516	414	  434.16
JohNe	5	48	516	412	  442.65
JohNe	5	48	516	409	  449.08
JohNe	5	48	516	405	  457.63
JohNe	5	48	517	400	  466.42
JohNe	5	48	517	395	  472.76
JohNe	5	48	517	390	  481.61
JohNe	5	48	517	386	  490.66
JohNe	5	48	517	382	  497.11
JohNe	5	48	517	378	  505.58
JohNe	5	48	516	374	  514.21
JohNe	5	48	516	371	  523.04
JohNe	5	48	516	368	  529.54
JohNe	5	48	516	365	  538.53
JohNe	5	48	515	360	  545.01
JohNe	5	48	515	356	  553.67
JohNe	5	48	514	350	  562.53
JohNe	5	48	514	347	  569.99
JohNe	5	48	514	343	  586.44
JohNe	5	48	514	342	  601.75
JohNe	5	48	514	341	  610.27
JohNe	5	48	514	340	  650.64
JohNe	5	48	514	341	  729.27
JohNe	5	48	513	342	  744.69
JohNe	5	48	513	343	  762.06
JohNe	5	48	513	344	  769.01
JohNe	5	48	513	345	  777.70
JohNe	5	48	512	346	  787.25
JohNe	5	48	512	347	  793.77
JohNe	5	48	512	348	  808.99
JohNe	5	48	512	349	  833.60
JohNe	5	48	512	350	  848.69
JohNe	5	48	512	352	  866.02
JohNe	5	48	511	353	  881.58
JohNe	5	48	511	354	  890.12
JohNe	5	48	511	357	 1025.75
JohNe	6	6	513	569	  254.07
JohNe	6	6	514	560	  263.00
JohNe	6	6	515	549	  271.50
JohNe	6	6	516	536	  277.95
JohNe	6	6	516	524	  286.45
JohNe	6	6	518	511	  295.08
JohNe	6	6	519	498	  302.35
JohNe	6	6	519	486	  311.21
JohNe	6	6	520	474	  317.78
JohNe	6	6	520	460	  326.39
JohNe	6	6	520	447	  335.86
JohNe	6	6	520	434	  342.32
JohNe	6	6	520	422	  350.93
JohNe	6	6	519	406	  366.10
JohNe	6	6	518	398	  375.04
JohNe	6	6	517	393	  381.83
JohNe	6	6	517	389	  390.58
JohNe	6	6	516	385	  399.23
JohNe	6	6	516	383	  405.58
JohNe	6	6	515	381	  414.23
JohNe	6	6	515	379	  430.19
JohNe	6	6	514	376	  454.30
JohNe	6	6	514	374	  461.41
JohNe	6	6	513	372	  469.98
JohNe	6	6	511	368	  478.65
JohNe	6	6	511	366	  487.18
JohNe	6	6	510	364	  493.79
JohNe	6	6	510	363	  502.81
JohNe	6	6	510	362	  558.14
JohNe	6	6	510	361	  567.23
JohNe	6	6	510	360	  573.57
JohNe	6	6	510	359	  582.21
JohNe	6	6	510	358	  591.09
JohNe	6	6	510	357	  597.56
JohNe	6	6	510	356	  614.82
JohNe	6	6	509	356	  717.92
JohNe	6	6	509	357	  733.62
